Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
81, 0001, 1, 0.3837714, 0.05087066, 0, 6.919036, 40, 0.05087066, 0, 2.41904, 22.6311, 0, -1.66, 2.75, -0.3309598
82, 1012, 2, 0.4758136, 0.395904, 0, 1.805977, 0, 0.395904, 0, 3.205976, 16.06982, 0, -1.66, 3.24, -0.03402424
83, 1112, 2, 0.4839847, 0.3602868, 0, 5.057633, 0, 0.3602868, 0, 3.257635, 24.91211, 0, -1.66, 3.24, 0.01763511
84, 0000, 7, 0.3724191, -0.2614958, 0, 6.118141, 61, -0.2614958, 0, 5.618141, 13.97192, 0, -1.66, 5.69, -0.07185888
85, 1101, 2, 0.332855, 0.1612634, 0, 1.619434, 58, 0.1612634, 0, 2.919433, 17.86841, 0, -1.66, 3.24, -0.3205669
86, 1100, 4, 0.3811061, 0.1709819, 0, 6.263619, 85, 0.1709819, 0, 4.263621, 17.88477, 0, -1.66, 4.22, 0.04362154
87, 0111, 6, 0.334496, -0.3333994, 0, 1.368358, 0, -0.3333994, 0, 4.968355, 20.88257, 0, -1.66, 5.2, -0.2316446
88, 1000, 6, 0.2468901, 0.2829091, 0, 6.634589, 34, 0.2829091, 0, 5.234591, 13.47266, 0, -1.66, 5.2, 0.03459072
89, 1110, 4, 0.4177898, 0.2998785, 0, 3.028217, 0, 0.2998785, 0, 4.228216, 19.05005, 0, -1.66, 4.22, 0.008215904
90, 0010, 2, 0.376676, 0.03405491, 0, 5.160933, 0, 0.03405491, 0, 2.860935, 20.64917, 0, -1.66, 3.24, -0.3790648
91, 0110, 6, 0.4074638, 0.0410915, 0, 6.515957, 0, 0.0410915, 0, 5.215959, 21.69897, 0, -1.66, 5.2, 0.01595879
92, 0102, 7, 0.4418613, -0.04153553, 0, 5.355897, 33, -0.04153553, 0, 5.655897, 18.03491, 0, -1.66, 5.69, -0.03410292
93, 0111, 3, 0.165689, 0.09434438, 0, 6.739237, 0, 0.09434438, 0, 3.139241, 21.03296, 0, -1.66, 3.73, -0.5907593
94, 1002, 2, 0.2599691, 0.2928807, 0, 5.816332, 64, 0.2928807, 0, 3.316334, 21.28101, 0, -1.66, 3.24, 0.07633424
95, 1010, 1, 0.2810256, -0.3137112, 0, 4.748554, 0, -0.3137112, 0, 2.648556, 20.74951, 0, -1.66, 2.75, -0.1014438
